month,date,area_sown,yield,inflation,price
april,1,27.22,562,4.94,4055
april,2,27.22,562,4.94,4005
april,3,27.22,562,4.94,4230
april,4,27.22,562,4.94,4255
april,5,27.22,562,4.94,4330
april,6,27.22,562,4.94,4355
april,7,27.22,562,4.94,4405
april,8,27.22,562,4.94,4330
april,9,27.22,562,4.94,4330
april,10,27.22,562,4.94,4405
april,11,27.22,562,4.94,4330
april,12,27.22,562,4.94,4330
april,13,27.22,562,4.94,4330
april,14,27.22,562,4.94,4330
april,15,27.22,562,4.94,4280
april,16,27.22,562,4.94,4255
april,17,27.22,562,4.94,4305
april,18,27.22,562,4.94,4430
april,19,27.22,562,4.94,4405
april,20,27.22,562,4.94,4605
april,1,23.82,678,2.94,4750
april,2,23.82,678,2.94,4625
april,3,23.82,678,2.94,4855
april,4,23.82,678,2.94,4885
april,5,23.82,678,2.94,4890
april,6,23.82,678,2.94,4885
april,7,23.82,678,2.94,4885
april,8,23.82,678,2.94,4925
april,9,23.82,678,2.94,4880
april,10,23.82,678,2.94,4930
april,11,23.82,678,2.94,4935
april,12,23.82,678,2.94,4960
april,13,23.82,678,2.94,4950
april,14,23.82,678,2.94,4925
april,15,23.82,678,2.94,4905
april,16,23.82,678,2.94,4880
april,17,23.82,678,2.94,4995
april,18,23.82,678,2.94,4995
april,19,23.82,678,2.94,4995
april,20,23.82,678,2.94,5000
april,1,26.24,673,4.86,5705
april,2,26.24,673,4.86,5705
april,3,26.24,673,4.86,5780
april,4,26.24,673,4.86,5705
april,5,26.24,673,4.86,5555
april,6,26.24,673,4.86,5605
april,7,26.24,673,4.86,5555
april,8,26.24,673,4.86,5555
april,9,26.24,673,4.86,5555
april,10,26.24,673,4.86,5355
april,11,26.24,673,4.86,5780
april,12,26.24,673,4.86,5630
april,13,26.24,673,4.86,5330
april,14,26.24,673,4.86,5380
april,15,26.24,673,4.86,5555
april,16,26.24,673,4.86,5630
april,17,26.24,673,4.86,5580
april,18,26.24,673,4.86,5505
april,19,26.24,673,4.86,5505
april,20,26.24,673,4.86,5355
april,1,26.6,559,7.66,4705
april,2,26.6,559,7.66,4805
april,3,26.6,559,7.66,4655
april,4,26.6,559,7.66,4705
april,5,26.6,559,7.66,4750
april,6,26.6,559,7.66,4755
april,7,26.6,559,7.66,4805
april,8,26.6,559,7.66,4880
april,9,26.6,559,7.66,4930
april,10,26.6,559,7.66,5000
april,11,26.6,559,7.66,5025
april,12,26.6,559,7.66,5000
april,13,26.6,559,7.66,3375
april,14,26.6,559,7.66,5030
april,15,26.6,559,7.66,5030
april,16,26.6,559,7.66,5045
april,17,26.6,559,7.66,5035
april,18,26.6,559,7.66,5080
april,19,26.6,559,7.66,5055
april,20,26.6,559,7.66,5030
april,1,26.29,614,6.76,5705
april,2,26.29,614,6.76,5830
april,3,26.29,614,6.76,5730
april,4,26.29,614,6.76,5855
april,5,26.29,614,6.76,6130
april,6,26.29,614,6.76,6255
april,7,26.29,614,6.76,6180
april,8,26.29,614,6.76,6055
april,9,26.29,614,6.76,6205
april,10,26.29,614,6.76,6005
april,11,26.29,614,6.76,6005
april,12,26.29,614,6.76,6005
april,13,26.29,614,6.76,6005
april,14,26.29,614,6.76,6005
april,15,26.29,614,6.76,6130
april,16,26.29,614,6.76,5980
april,17,26.29,614,6.76,6055
april,18,26.29,614,6.76,5905
april,19,26.29,614,6.76,5905
april,20,26.29,614,6.76,5905
