month,day,area_sown,yield,inflation,price
april,1,1.42,519,2.94,3800
april,2,1.42,519,2.94,3800
april,3,1.42,519,2.94,3800
april,4,1.42,519,2.94,3800
april,5,1.42,519,2.94,3800
april,6,1.42,519,2.94,3800
april,7,1.42,519,2.94,3800
april,8,1.42,519,2.94,3800
april,9,1.42,519,2.94,3900
april,10,1.42,519,2.94,3900
april,11,1.42,519,2.94,3900
april,12,1.42,519,2.94,3900
april,13,1.42,519,2.94,3900
april,14,1.42,519,2.94,3900
april,15,1.42,519,2.94,3900
april,16,1.42,519,2.94,3900
april,17,1.42,519,2.94,3900
april,18,1.42,519,2.94,3900
april,19,1.42,519,2.94,3900
april,20,1.42,519,2.94,3900
april,1,1.83,511,4.86,3900
april,2,1.83,511,4.86,3900
april,3,1.83,511,4.86,3900
april,4,1.83,511,4.86,3900
april,5,1.83,511,4.86,3900
april,6,1.83,511,4.86,3900
april,7,1.83,511,4.86,3900
april,8,1.83,511,4.86,3900
april,9,1.83,511,4.86,3900
april,10,1.83,511,4.86,3900
april,11,1.83,511,4.86,3900
april,12,1.83,511,4.86,3900
april,13,1.83,511,4.86,3900
april,14,1.83,511,4.86,3900
april,15,1.83,511,4.86,3900
april,16,1.83,511,4.86,3900
april,17,1.83,511,4.86,3900
april,18,1.83,511,4.86,3900
april,19,1.83,511,4.86,3900
april,20,1.83,511,4.86,3900
april,1,1.33,639,7.66,4800
april,2,1.33,639,7.66,4800
april,3,1.33,639,7.66,4800
april,4,1.33,639,7.66,4800
april,5,1.33,639,7.66,4800
april,6,1.33,639,7.66,4800
april,7,1.33,639,7.66,4800
april,8,1.33,639,7.66,4800
april,9,1.33,639,7.66,4800
april,10,1.33,639,7.66,4800
april,11,1.33,639,7.66,4800
april,12,1.33,639,7.66,4800
april,13,1.33,639,7.66,4800
april,14,1.33,639,7.66,4800
april,15,1.33,639,7.66,4800
april,16,1.33,639,7.66,4800
april,17,1.33,639,7.66,4800
april,18,1.33,639,7.66,4800
april,19,1.33,639,7.66,4800
april,20,1.33,639,7.66,4800
april,1,1.28,797,6.76,4300
april,2,1.28,797,6.76,4250
april,3,1.28,797,6.76,4350
april,4,1.28,797,6.76,4300
april,5,1.28,797,6.76,4300
april,6,1.28,797,6.76,4300
april,7,1.28,797,6.76,4400
april,8,1.28,797,6.76,4400
april,9,1.28,797,6.76,4400
april,10,1.28,797,6.76,4400
april,11,1.28,797,6.76,4400
april,12,1.28,797,6.76,4400
april,13,1.28,797,6.76,4400
april,14,1.28,797,6.76,4400
april,15,1.28,797,6.76,4350
april,16,1.28,797,6.76,4300
april,17,1.28,797,6.76,4350
april,18,1.28,797,6.76,4300
april,19,1.28,797,6.76,4400
april,20,1.28,797,6.76,4300
